行ID,ファイル名,言語,ページ,番号,日本語,翻訳
269,英語_pdfplumber_抽出_最終版.csv,英語,23,11.0,仮ボルト,Temporary bolt
270,英語_pdfplumber_抽出_最終版.csv,英語,23,12.0,手直し,Rework(cid:9)
271,英語_pdfplumber_抽出_最終版.csv,英語,23,13.0,面一,Flushness
272,英語_pdfplumber_抽出_最終版.csv,英語,23,14.0,点検事項,Inspection list(cid:9)
273,英語_pdfplumber_抽出_最終版.csv,英語,23,15.0,積載荷重,Loading capacity
274,英語_pdfplumber_抽出_最終版.csv,英語,23,16.0,すき間,Clearance
275,英語_pdfplumber_抽出_最終版.csv,英語,23,17.0,通りを見る,Check correctness
276,英語_pdfplumber_抽出_最終版.csv,英語,23,18.0,組立,Assembly
277,英語_pdfplumber_抽出_最終版.csv,英語,23,19.0,地組,Basic assembly on the ground
278,英語_pdfplumber_抽出_最終版.csv,英語,23,20.0,天端,Top surface
279,英語_pdfplumber_抽出_最終版.csv,英語,24,21.0,玉掛け,Slinging
280,英語_pdfplumber_抽出_最終版.csv,英語,24,22.0,合図,Signal
281,英語_pdfplumber_抽出_最終版.csv,英語,24,23.0,定格荷重,Rated load
282,英語_pdfplumber_抽出_最終版.csv,英語,24,24.0,たち,Verticality
283,英語_pdfplumber_抽出_最終版.csv,英語,24,25.0,職長,Foreman
284,英語_pdfplumber_抽出_最終版.csv,英語,25,1.0,安全カバー,Safety cover(cid:9)
285,英語_pdfplumber_抽出_最終版.csv,英語,25,2.0,安全帯,Safety belt
286,英語_pdfplumber_抽出_最終版.csv,英語,25,3.0,インサート,Threaded insert
287,英語_pdfplumber_抽出_最終版.csv,英語,25,4.0,スペーサ,Spacer(cid:9)
288,英語_pdfplumber_抽出_最終版.csv,英語,25,5.0,鉄筋,Rebar(cid:9)
289,英語_pdfplumber_抽出_最終版.csv,英語,25,6.0,電工ドラム（ドラム）,Retractable extension cord reel (Drum)
290,英語_pdfplumber_抽出_最終版.csv,英語,25,7.0,電動丸のこ（電のこ）,Electric circular saw (Electric saw)(cid:9)
291,英語_pdfplumber_抽出_最終版.csv,英語,25,8.0,パッキン,Packing(cid:9)
292,英語_pdfplumber_抽出_最終版.csv,英語,25,9.0,小バール,Small crowbar
293,英語_pdfplumber_抽出_最終版.csv,英語,25,10.0,大バール,Large crowbar
294,英語_pdfplumber_抽出_最終版.csv,英語,26,11.0,化粧合板,Decorative plywood(cid:9)
295,英語_pdfplumber_抽出_最終版.csv,英語,26,12.0,普通合板,Regular plywood
296,英語_pdfplumber_抽出_最終版.csv,英語,26,13.0,スタイロフォーム,Styrofoam
297,英語_pdfplumber_抽出_最終版.csv,英語,26,14.0,面木,Chamfer
298,英語_pdfplumber_抽出_最終版.csv,英語,26,15.0,バイブレーター,Vibrator(cid:9)
299,英語_pdfplumber_抽出_最終版.csv,英語,26,16.0,剥離剤,Remover
300,英語_pdfplumber_抽出_最終版.csv,英語,26,17.0,けこみ板,Riser
301,英語_pdfplumber_抽出_最終版.csv,英語,26,18.0,目地棒,Joint bar
302,英語_pdfplumber_抽出_最終版.csv,英語,26,19.0,コンクリート,Concrete
303,英語_pdfplumber_抽出_最終版.csv,英語,26,20.0,コンベックス,Metal tape measure
304,英語_pdfplumber_抽出_最終版.csv,英語,27,21.0,作業用手袋,Work gloves
305,英語_pdfplumber_抽出_最終版.csv,英語,27,22.0,差金,L-square ruler
306,英語_pdfplumber_抽出_最終版.csv,英語,27,23.0,水平器,Leveler(cid:9)
307,英語_pdfplumber_抽出_最終版.csv,英語,27,24.0,墨さし,Bamboo marking pen
308,英語_pdfplumber_抽出_最終版.csv,英語,27,25.0,墨つぼ,Inkpot
